/home/allenhaozhu/anaconda3/bin/python /home/allenhaozhu/Downloads/AGC-master/test.py
ACC=0.684080, f1_macro=0.680229, precision_macro=0.700374, recall_macro=0.702873, f1_micro=0.684080, precision_micro=0.684080, recall_micro=0.684080, NMI=0.319207, ADJ_RAND_SCORE=0.308512
ACC=0.684080, f1_macro=0.680217, precision_macro=0.700352, recall_macro=0.702873, f1_micro=0.684080, precision_micro=0.684080, recall_micro=0.684080, NMI=0.319161, ADJ_RAND_SCORE=0.308498
ACC=0.684080, f1_macro=0.680217, precision_macro=0.700352, recall_macro=0.702873, f1_micro=0.684080, precision_micro=0.684080, recall_micro=0.684080, NMI=0.319161, ADJ_RAND_SCORE=0.308498
ACC=0.684181, f1_macro=0.680319, precision_macro=0.700423, recall_macro=0.702958, f1_micro=0.684181, precision_micro=0.684181, recall_micro=0.684181, NMI=0.319231, ADJ_RAND_SCORE=0.308606
ACC=0.684638, f1_macro=0.680803, precision_macro=0.700968, recall_macro=0.703308, f1_micro=0.684638, precision_micro=0.684638, recall_micro=0.684638, NMI=0.319650, ADJ_RAND_SCORE=0.309286
ACC=0.684181, f1_macro=0.680319, precision_macro=0.700423, recall_macro=0.702958, f1_micro=0.684181, precision_micro=0.684181, recall_micro=0.684181, NMI=0.319231, ADJ_RAND_SCORE=0.308606
ACC=0.684029, f1_macro=0.680178, precision_macro=0.700338, recall_macro=0.702831, f1_micro=0.684029, precision_micro=0.684029, recall_micro=0.684029, NMI=0.319172, ADJ_RAND_SCORE=0.308458
ACC=0.684080, f1_macro=0.680229, precision_macro=0.700374, recall_macro=0.702873, f1_micro=0.684080, precision_micro=0.684080, recall_micro=0.684080, NMI=0.319207, ADJ_RAND_SCORE=0.308512
ACC=0.684080, f1_macro=0.680217, precision_macro=0.700352, recall_macro=0.702873, f1_micro=0.684080, precision_micro=0.684080, recall_micro=0.684080, NMI=0.319161, ADJ_RAND_SCORE=0.308498
ACC=0.684080, f1_macro=0.680217, precision_macro=0.700352, recall_macro=0.702873, f1_micro=0.684080, precision_micro=0.684080, recall_micro=0.684080, NMI=0.319161, ADJ_RAND_SCORE=0.308498
power: 9 intra_dist: 0.5964641556254374 acc_mean: 0.6841507328701122 acc_std: 0.0001685169927051621 nmi_mean: 0.3192339738753619 nmi_std: 0.00014127973952725504 f1_mean: 0.6802944628233334 f1_std: 0.00017508934147168607
ACC=0.686362, f1_macro=0.682280, precision_macro=0.702320, recall_macro=0.704606, f1_micro=0.686362, precision_micro=0.686362, recall_micro=0.686362, NMI=0.321305, ADJ_RAND_SCORE=0.311505
ACC=0.686413, f1_macro=0.682320, precision_macro=0.702367, recall_macro=0.704610, f1_micro=0.686413, precision_micro=0.686413, recall_micro=0.686413, NMI=0.321222, ADJ_RAND_SCORE=0.311523
ACC=0.686261, f1_macro=0.682143, precision_macro=0.702329, recall_macro=0.704484, f1_micro=0.686261, precision_micro=0.686261, recall_micro=0.686261, NMI=0.321318, ADJ_RAND_SCORE=0.311432
ACC=0.686362, f1_macro=0.682282, precision_macro=0.702354, recall_macro=0.704568, f1_micro=0.686362, precision_micro=0.686362, recall_micro=0.686362, NMI=0.321231, ADJ_RAND_SCORE=0.311482
ACC=0.686362, f1_macro=0.682280, precision_macro=0.702320, recall_macro=0.704606, f1_micro=0.686362, precision_micro=0.686362, recall_micro=0.686362, NMI=0.321305, ADJ_RAND_SCORE=0.311505
